#  E (eV)   dos(E)     Int dos(E) EFermi =   18.294 eV
  10.192  0.2649E-10  0.3789E-12
  10.193  0.2844E-10  0.4073E-12
  10.194  0.3052E-10  0.4379E-12
  10.195  0.3276E-10  0.4706E-12
  10.196  0.3516E-10  0.5058E-12
  10.197  0.3773E-10  0.5435E-12
  10.198  0.4048E-10  0.5840E-12
  10.199  0.4343E-10  0.6274E-12
  10.200  0.4659E-10  0.6740E-12
  10.201  0.4998E-10  0.7240E-12
  10.202  0.5360E-10  0.7776E-12
  10.203  0.5748E-10  0.8351E-12
  10.204  0.6164E-10  0.8967E-12
  10.205  0.6609E-10  0.9628E-12
  10.206  0.7085E-10  0.1034E-11
  10.207  0.7594E-10  0.1110E-11
  10.208  0.8140E-10  0.1191E-11
  10.209  0.8724E-10  0.1278E-11
  10.210  0.9348E-10  0.1372E-11
  10.211  0.1002E-09  0.1472E-11
  10.212  0.1073E-09  0.1579E-11
  10.213  0.1150E-09  0.1694E-11
  10.214  0.1231E-09  0.1817E-11
  10.215  0.1319E-09  0.1949E-11
  10.216  0.1412E-09  0.2090E-11
  10.217  0.1512E-09  0.2242E-11
  10.218  0.1619E-09  0.2404E-11
  10.219  0.1734E-09  0.2577E-11
  10.220  0.1856E-09  0.2763E-11
  10.221  0.1986E-09  0.2961E-11
  10.222  0.2126E-09  0.3174E-11
  10.223  0.2275E-09  0.3401E-11
  10.224  0.2434E-09  0.3645E-11
  10.225  0.2604E-09  0.3905E-11
  10.226  0.2786E-09  0.4184E-11
  10.227  0.2980E-09  0.4482E-11
  10.228  0.3187E-09  0.4800E-11
  10.229  0.3409E-09  0.5141E-11
  10.230  0.3645E-09  0.5506E-11
  10.231  0.3897E-09  0.5896E-11
  10.232  0.4166E-09  0.6312E-11
  10.233  0.4454E-09  0.6758E-11
  10.234  0.4761E-09  0.7234E-11
  10.235  0.5088E-09  0.7742E-11
  10.236  0.5437E-09  0.8286E-11
  10.237  0.5810E-09  0.8867E-11
  10.238  0.6207E-09  0.9488E-11
  10.239  0.6631E-09  0.1015E-10
  10.240  0.7083E-09  0.1086E-10
  10.241  0.7565E-09  0.1162E-10
  10.242  0.8079E-09  0.1242E-10
  10.243  0.8627E-09  0.1329E-10
  10.244  0.9212E-09  0.1421E-10
  10.245  0.9834E-09  0.1519E-10
  10.246  0.1050E-08  0.1624E-10
  10.247  0.1121E-08  0.1736E-10
  10.248  0.1196E-08  0.1856E-10
  10.249  0.1276E-08  0.1983E-10
  10.250  0.1362E-08  0.2120E-10
  10.251  0.1453E-08  0.2265E-10
  10.252  0.1550E-08  0.2420E-10
  10.253  0.1653E-08  0.2585E-10
  10.254  0.1764E-08  0.2762E-10
  10.255  0.1881E-08  0.2950E-10
  10.256  0.2006E-08  0.3150E-10
  10.257  0.2138E-08  0.3364E-10
  10.258  0.2280E-08  0.3592E-10
  10.259  0.2430E-08  0.3835E-10
  10.260  0.2591E-08  0.4094E-10
  10.261  0.2761E-08  0.4370E-10
  10.262  0.2942E-08  0.4664E-10
  10.263  0.3135E-08  0.4978E-10
  10.264  0.3341E-08  0.5312E-10
  10.265  0.3559E-08  0.5668E-10
  10.266  0.3791E-08  0.6047E-10
  10.267  0.4038E-08  0.6451E-10
  10.268  0.4300E-08  0.6881E-10
  10.269  0.4579E-08  0.7339E-10
